42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,5,5,5,5,5,12,12,12,12,12,20,20,20,20,20,20,16,16,16,16,16,16,16,16,X,28,20,20,20,20,16,16,16,16,10,10,10,10,10,10,X
X,5,5,5,5,5,12,X,22,22,22,22,22,22,22,20,20,20,20,18,18,18,18,16,16,X,28,24,24,24,24,12,12,12,12,12,8,8,8,8,8,X
X,5,5,5,5,5,12,X,22,22,22,22,22,22,22,20,20,20,20,X,X,X,X,X,X,X,28,X,X,X,X,X,X,X,X,X,X,X,8,8,8,X
X,8,8,8,8,8,8,X,X,X,15,15,15,15,15,20,20,20,20,24,24,24,24,24,24,24,24,X,6,6,6,6,6,6,2,2,2,2,2,2,2,X
X,8,8,8,8,8,8,X,4,X,12,12,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6,4,4,4,2,2,2,2,X
X,8,8,8,8,8,8,4,4,X,12,12,12,12,12,8,8,8,8,8,8,6,6,X,29,29,29,29,29,29,22,22,X,25,F,12,12,12,8,8,8,X
X,15,15,15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,23,28,29,29,29,24,22,22,X,22,22,18,7,7,15,15,15,X
X,15,15,15,20,20,20,20,20,20,X,21,21,12,12,7,7,7,7,7,7,15,15,15,24,24,29,29,24,24,22,22,X,X,X,X,X,X,X,22,22,X
X,15,15,15,24,24,24,24,24,24,X,21,21,14,9,9,9,9,9,9,9,9,12,12,12,12,12,12,18,18,22,22,X,18,18,25,25,25,25,22,22,X
X,15,15,15,24,24,24,24,24,24,X,2,1,1,1,1,1,3,3,3,3,3,8,8,8,8,8,12,12,12,22,22,X,18,18,25,25,25,25,22,22,X
X,15,15,15,X,X,X,X,X,X,X,X,X,X,X,0,0,4,8,8,8,8,4,4,4,12,12,12,15,15,12,12,X,18,18,18,X,X,X,X,X,X
X,15,15,15,X,X,X,X,X,X,X,X,X,X,X,4,0,X,X,4,8,12,16,16,12,12,12,12,4,4,12,12,X,18,18,12,X,5,5,5,5,X
X,24,24,24,24,24,24,24,16,16,8,8,8,16,X,12,6,X,X,4,4,4,12,12,12,12,12,12,9,9,12,12,X,10,10,10,X,5,5,5,5,X
X,24,24,24,24,24,24,24,8,8,8,16,16,16,X,15,S,X,X,13,13,13,13,13,4,4,4,8,8,8,12,12,X,10,10,10,X,5,5,5,5,X
X,24,24,24,24,24,24,24,8,12,12,X,16,16,X,22,15,X,X,13,13,13,13,13,4,4,4,4,4,4,12,12,X,7,7,7,X,9,9,9,9,X
X,X,X,X,X,X,X,X,8,12,12,X,16,16,X,14,24,X,X,X,X,X,X,X,X,X,X,X,8,8,8,12,X,7,X,X,X,9,9,9,9,X
X,X,X,X,X,X,X,X,8,12,12,X,16,16,12,12,12,X,X,5,5,5,5,2,2,2,2,X,2,2,2,2,4,4,X,9,15,12,12,12,12,X
X,X,X,X,X,X,X,X,8,12,12,X,X,X,X,X,X,X,X,9,15,X,2,2,2,2,2,X,2,2,2,2,4,4,X,6,X,12,12,12,12,X
X,X,X,X,X,X,X,X,8,12,12,24,24,38,38,38,34,X,X,9,15,X,X,X,X,X,X,X,X,X,X,X,4,4,X,3,X,12,12,12,12,X
X,30,30,23,23,23,23,23,8,24,24,24,24,38,38,38,34,X,X,9,15,23,23,23,23,23,18,18,18,18,12,X,X,X,X,X,X,12,12,7,16,X
X,30,30,12,34,34,34,34,34,34,34,34,34,38,38,38,34,X,X,9,15,21,21,21,23,23,21,23,21,21,12,15,15,15,12,X,X,8,12,7,16,X
X,30,30,12,30,30,30,30,30,30,30,30,30,38,38,38,34,X,X,17,17,21,21,21,24,24,24,24,24,16,16,16,16,16,12,16,X,8,12,7,16,X
X,12,12,12,X,X,X,X,X,X,X,X,X,X,X,38,34,X,X,15,15,15,15,15,15,12,12,X,X,X,X,X,X,X,12,15,X,8,12,7,16,X
X,12,24,30,X,X,X,X,X,X,X,X,X,X,X,32,27,X,X,6,10,12,12,12,12,12,12,24,24,24,28,28,29,X,12,14,X,6,15,7,16,X
X,12,24,30,X,X,X,X,X,X,X,X,X,X,X,26,21,X,X,6,6,12,12,12,18,21,21,21,21,21,21,21,21,X,12,14,X,6,15,7,20,X
X,12,24,30,X,X,X,X,X,X,X,X,X,X,X,22,15,4,4,4,8,8,8,8,12,15,15,15,15,21,21,21,21,X,12,14,8,6,15,7,20,X
X,12,12,30,30,30,30,30,30,30,30,30,30,30,30,30,34,X,X,X,X,X,X,X,X,X,X,3,6,12,12,12,21,X,12,14,8,6,15,7,20,X
X,X,X,X,X,12,28,X,12,12,12,12,12,12,12,18,34,X,X,X,X,X,X,X,X,X,X,6,6,12,12,12,21,X,8,9,6,6,12,7,20,X
X,12,13,13,X,16,22,X,18,18,X,X,X,X,25,28,34,X,X,X,X,X,X,X,X,X,X,6,8,15,15,12,21,X,8,5,1,3,12,2,20,X
